"MENU NAME","OPTION NUMBER","TYPE M/C/P","OPTION DESCRIPTION ENGLISH","OPTION DESCRIPTION FRENCH","OPTION DESCRIPTION SPANISH","COMMAND TO PROCESS OPTION","EFFECTIVE DATE OF OPTION","Hidden Needs Special Auth","Update Option =U","Usage Type R/I/M"
"APMENU00",1,"M","Vendor Maintenance Menu","Menu mise à jour marchands","Mantenimiento de Proveedores","APMENU01","2005-02-12","N","N",""
"APMENU00",2,"M","Voucher Entry & Payment Menu","Menu saisie bons d'échange et paiements","Ingresos y Pagos","APMENU02","2005-02-12","N","N",""
"APMENU00",3,"M","Check Reconciliation Menu","Menu rapprochement chèques","Reconciliación de Cheques","APMENU03","2005-02-12","N","N",""
"APMENU00",4,"M","RBNI Menu","Menu RBNI","Menu RBNI","APMENU04","2005-02-12","N","N",""
"APMENU00",10,"M","Report Menu","Menu rapports","Menu de Reportes","APMENU10","2005-02-12","N","N",""
"APMENU00",30,"M","File Purge Menu","Menu purger fichiers","Menu para Purgar Archivos","APMENU30","2005-02-12","N","N",""
"APMENU00",31,"M","System Support Menu","Menu soutien du système","Soporte de Sistema","APMENU31","2005-02-12","N","N",""
"APMENU00",40,"M","Vendor 1099 Menu","Menu fournisseur 1099","Menu Proveedor 1099","APMENU40","2005-02-12","N","N",""
"APMENU00",999,"M","General Utilities Menu","Menu utilitaires généraux","Menu de Utilerías Generales","GUMENU01","2006-09-23","*","N",""
"APMENU01",1,"C","Trade Vendor Master File Maintenance","Mise à jour fichiers maîtres des fournisseurs externes","Mtto Archivo Maestro de Proveedores","CALL APVNDMNTMU","2005-02-12","N","Y",""
"APMENU01",2,"C","Vendor Master & Invoice Inquiry","Requête sur les fichiers maîtres et factures fournisseurs","Consulta de Maestro de Proveedores y Facturas","CALL PGM(APVNDINQ) PARM(' ')","2005-02-12","N","N",""
"APMENU01",3,"C","AP Vendor Audit Inquiry","Requête sur la vérification CF fournisseurs","AP Vendor Audit Inquiry","CALL AP1102CL 'A'","2014-01-14","N","N",""
"APMENU01",4,"C","Expense Vendor Inquiry","Requête sur les charges fournisseurs","Expense Vendor Inquiry","CALL BCV020 PARM('I' '      ' 'REG      ')","2014-06-25","N","N",""
"APMENU01",999,"M","General Utilities Menu","Menu utilitaires généraux","Menu de Utilerías Generales","GUMENU01","2006-09-23","*","N",""
"APMENU02",1,"P","Vendor Invoice Batch Entry","Saisie de lot de factures fournisseur","Ingreso de Lote de Facturas de Proveedor","CALL APENTRMU","2005-02-12","N","Y",""
"APMENU02",2,"C","Display Invoice Entry Batch Status","Afficher état du lot de saisie de factures","Desplegar Estatus de Lote de Facturas","CALL APSTUSMU","2005-02-12","N","N",""
"APMENU02",3,"C","Vendor Invoice Inquiry","Requête sur les factures du fournisseur","Consulta de Facturas por Proveedor","CALL APINQ  PARM('      ' '          ' ' ' 'N' '00')","2011-04-23","N","N",""
"APMENU02",4,"C","Change Open Inv Due Date & Discount","Changer date d'échéance et ristourne pour factures impayées","Cambiar Fecha de Vencimiento y de Descuento de Facturas","CALL APINVC","2005-02-12","N","Y",""
"APMENU02",5,"C","G/L Chart Of Accounts Inquiry","Requête sur le plan comptable G/L","Consulta del Catalogo de Cuentas del Libro Mayor","CALL GLCINQMU","2005-02-12","N","N",""
"APMENU02",6,"C","EDI Vendor Invoice Review","Examen des factures fournisseur EDI","EDI Vendor Invoice Review","CALL PGM(APM020) PARM('A  ' 'U' 'A')","2008-12-13","N","Y",""
"APMENU02",7,"C","EDI Vendor Invoice Inquiry","Requête sur les factures fournisseur EDI","EDI Vendor Invoice Inquiry","CALL PGM(APM020) PARM('ALL' 'I' 'A')","2008-12-13","N","N",""
"APMENU02",8,"C","EDI Expense Invoice Review","Examen des factures fournisseurs EDI","EDI Expense Invoice Review","CALL PGM(EXV010) PARM('A  ' 'U' 'A')","2011-02-26","N","Y",""
"APMENU02",9,"C","EDI Expense Invoice Inquiry","Requête sur les factures fournisseurs EDI","EDI Expense Invoice Inquiry","CALL PGM(EXV010) PARM('ALL' 'I' 'A')","2011-02-26","N","Y",""
"APMENU02",10,"P","Vendor Rebate Debit Memo Entry","Saisie note de débit ristourne fournisseur","Vendor Rebate Debit Memo Entry","CALL APENTRPMU","2011-11-11","N","Y",""
"APMENU02",11,"P","3rd Party Rebate Batch","Lot de ristournes de tiers","3rd Party Rebate Batch","CALL APENTR3MU","2015-07-29","N","Y",""
"APMENU02",20,"C","Display Cash Requirements By Date","Afficher les besoins de trésorerie selon la date","Desplegar Requerimiento de efectivo por fecha","CALL APCREQ","2005-02-12","N","N",""
"APMENU02",21,"P","Enter Hand Typed Check Data","Saisir les données de chèques faits à la main","Enter Hand Typed Check Data","CALL APPMTENTMU","2011-05-03","N","Y",""
"APMENU02",22,"P","Print Cash Disbursements Due List","Imprimer l'échéancier des décaissements","Listado de Distribución de Efectivo por Vencimientos","CALL APDUEDATMU","2005-02-12","N","N",""
"APMENU02",23,"P","Enter Items To Be Paid","Saisir les articles à régler","Selección de Facturas a Pagar","CALL APPMTSELMU","2005-02-12","N","Y",""
"APMENU02",24,"P","Print Accounts Payable Checks","Imprimer les chèques comptes fournisseurs","Impresión de Cheques - Cuentas x Pagar","CALL APCKSLMU","2005-02-12","N","Y",""
"APMENU02",25,"P","Release EFT/ACH Payments","Verser paiements TEF/CCA","Release EFT/ACH Payments","CALL AP0500CL","2008-03-23","N","Y",""
"APMENU02",26,"P","Reinstate Automatic EFT Transactions","Rétablir les transactions automatiques TEF","Reinstate Automatic EFT Transactions","CALL AP0600CL","2012-05-11","N","Y",""
"APMENU02",27,"P","Reinstate Manual EFT Transactions","Rétablir les transactions manuelles TEF","Reinstate Manual EFT Transactions","CALL AP0601CL","2012-05-11","N","Y",""
"APMENU02",30,"P","Void Open Vendor Invoices","Annuler ouverture factures fournisseur","Cancelar Facturas Abiertas","CALL APINVVOIDM","2005-02-12","N","Y",""
"APMENU02",31,"P","Void Accounts Payable Checks","Annuler les chèques comptes fournisseurs","Cancelar Cheques","CALL APCHKVOIDM","2005-02-12","N","Y",""
"APMENU02",50,"P","Recurring Invoice Batch Entry","Saisir lot de factures récurrentes","Ingreso de Lote de Facturas Recurrentes","CALL APENTRRMU","2005-02-12","N","Y",""
"APMENU02",51,"C","Display Recurring Batch Status","Afficher état du lot de factures récurrentes","Desplegar Estatus de Lote de Facturas Recurrentes","CALL APSTUSRMU","2005-02-12","N","N",""
"APMENU02",52,"P","Select Recurring Invoices","Sélectionner les factures récurrentes","Seleccionar Facturas Recurrentes","CALL RCDTSLMU","2005-02-12","N","Y",""
"APMENU02",999,"M","General Utilities Menu","Menu utilitaires généraux","Menu de Utilerías Generales","GUMENU01","2006-09-23","*","N",""
"APMENU03",1,"C","Enter Cancelled Checks","Saisir les chèques annulés","Ingreso de Cheques Cancelados","CALL APCKRCEN","2005-02-12","N","Y",""
"APMENU03",2,"P","Cancelled Check Edit Listing And/Or File Update","Modifier la liste et/ou mettre à jour fichiers de chèques annulés","Edición de lista de Cheques Cancelados y/o Cargas de Archivo","CALL APCKRCSLMU","2005-02-12","N","Y",""
