"SCNAME","SCMENU","SCOPT#","SCXCO#","SCXGRP","SCEXPD","SCADUS","SCADDT","SCADTM","SCCHUS","SCCHDT","SCCHTM","SCFROM"
"COCCISAYA","APMENU00","001",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","APMENU00","002",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","APMENU00","002",2,"",0,"COCCRICKE",1240503,160310,"COCCRICKE",1240503,160310,""
"COCCISAYA","APMENU00","003",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","APMENU00","004",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","APMENU00","010",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","APMENU00","030",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","APMENU00","031",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","APMENU00","040",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","APMENU00","999",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","APMENU01","001",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","APMENU01","002",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","APMENU01","999",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","APMENU02","001",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","APMENU02","002",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","APMENU02","003",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","APMENU02","004",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","APMENU02","005",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","APMENU02","006",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","APMENU02","007",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","APMENU02","008",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","APMENU02","009",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","APMENU02","020",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","APMENU02","021",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","APMENU02","022",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","APMENU02","022",2,"",0,"COCCRICKE",1240503,160310,"COCCRICKE",1240503,160310,""
"COCCISAYA","APMENU02","023",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","APMENU02","023",2,"",0,"COCCRICKE",1240503,160310,"COCCRICKE",1240503,160310,""
"COCCISAYA","APMENU02","024",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","APMENU02","024",2,"",0,"COCCRICKE",1240503,160310,"COCCRICKE",1240503,160310,""
"COCCISAYA","APMENU02","025",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","APMENU02","030",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","APMENU02","031",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","APMENU02","050",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","APMENU02","051",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","APMENU02","052",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","APMENU02","999",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","APMENU03","001",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","APMENU03","002",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","APMENU03","003",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","APMENU03","004",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","APMENU03","999",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","APMENU04","001",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","APMENU04","002",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","APMENU04","003",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","APMENU04","004",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","APMENU04","999",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","APMENU10","001",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","APMENU10","002",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","APMENU10","003",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","APMENU10","004",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","APMENU10","005",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","APMENU10","006",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","APMENU10","007",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","APMENU10","008",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","APMENU10","009",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","APMENU10","010",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","APMENU10","011",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","APMENU10","012",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","APMENU10","013",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","APMENU10","014",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","APMENU10","999",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","APMENU30","001",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","APMENU30","002",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","APMENU30","003",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","APMENU30","999",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","APMENU31","001",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","APMENU31","002",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","APMENU31","003",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","APMENU31","004",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","APMENU31","005",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","APMENU31","006",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","APMENU31","999",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","APMENU40","001",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","APMENU40","002",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","APMENU40","003",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","APMENU40","004",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","APMENU40","005",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","APMENU40","006",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","APMENU40","007",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","APMENU40","999",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","BIMENU","001",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","BIMENU","002",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","BIMENU","003",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","BIMENU","004",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","BIMENU","005",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","BIMENU","006",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","BIMENU","007",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","BIMENU","010",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","BIMENU","012",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","BIMENU","999",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","CALCPAK","001",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","CALCPAK","999",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","CALCRATE","001",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","CALCRATE","999",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","CALCREPT","001",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","CALCREPT","999",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","CAMENU","001",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","CAMENU","002",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","CAMENU","003",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","CAMENU","005",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","CAMENU","006",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","CAMENU","007",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","CAMENU","008",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","CAMENU","009",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","CAMENU","010",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","CAMENU","011",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","CAMENU","012",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","CAMENU","013",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","CAMENU","014",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","CAMENU","015",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","CAMENU","016",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","CAMENU","017",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","CAMENU","018",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","CAMENU","020",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","CAMENU","021",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","CAMENU","022",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","CAMENU","023",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","CAMENU","024",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","CAMENU","025",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","CAMENU","050",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","CAMENU","060",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","CAMENUR","001",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","CAMENUR","002",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","CAMENUR","060",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","CAMENU25","001",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","CAMENU25","002",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","CAMENU25","003",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","CAMENU25","004",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","CAMENU25","007",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","CAMENU25","013",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","CAMENU25","014",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","CAMENU25","017",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","CAMENU25","018",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","CAMENU25","019",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","CAMENU25","020",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","CAMENU25","021",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","CAMENU25","060",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","CAMENU25","061",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","CAMENU25R","001",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","CAMENU25R","002",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","CAMENU2561","022",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","CAMENU2561","022",2,"",0,"COCCRICKE",1240503,160310,"COCCRICKE",1240503,160310,""
